┌────────┬───────────┬────────┬────────┬─────────────────┬────────────────────┬───────────────────────┬────────────────────┬──────────────────────┬──────────────┬─────────────────┬────────────────────┬─────────────────┬───────────────────┐
│     id │      name │   nvar │   ncon │ status_percival │ objective_percival │ elapsed_time_percival │ dual_feas_percival │ primal_feas_percival │ status_ipopt │ objective_ipopt │ elapsed_time_ipopt │ dual_feas_ipopt │ primal_feas_ipopt │
├────────┼───────────┼────────┼────────┼─────────────────┼────────────────────┼───────────────────────┼────────────────────┼──────────────────────┼──────────────┼─────────────────┼────────────────────┼─────────────────┼───────────────────┤
│     24 │  GIGOMEZ2 │      3 │      3 │     first_order │           1.95e+00 │              1.00e-03 │           1.30e-06 │             5.92e-06 │  first_order │        1.95e+00 │           2.00e-03 │        7.81e-06 │          0.00e+00 │
│     25 │    SPINOP │   1327 │   1325 │        max_time │           1.54e-08 │              1.20e+03 │           8.25e+03 │             6.05e-05 │  first_order │        3.90e-08 │           1.09e+01 │        3.08e-07 │          6.90e-05 │
│     26 │  DEMYMALO │      3 │      3 │     first_order │          -3.00e+00 │              1.00e-03 │           2.61e-11 │             8.68e-07 │  first_order │       -3.00e+00 │           3.00e-03 │        1.67e-04 │          0.00e+00 │
│     27 │      HS42 │      4 │      2 │     first_order │           1.39e+01 │              0.00e+00 │           1.17e-10 │             1.67e-05 │  first_order │        1.39e+01 │           1.00e-03 │        8.00e-04 │          2.04e-04 │
│     28 │  LUKVLI18 │   9997 │   7497 │        max_time │           1.36e+03 │              1.20e+03 │           3.33e+01 │             2.41e-02 │  first_order │        4.06e-01 │           1.83e-01 │        6.42e-04 │          0.00e+00 │
│     29 │      HS27 │      3 │      1 │     first_order │           4.00e-02 │              1.00e-03 │           2.61e-09 │             1.24e-06 │  first_order │        4.00e-02 │           1.40e-02 │        3.62e-04 │          3.23e-05 │
│     30 │  GRIDNETH │   7564 │   3844 │     first_order │           2.06e+02 │              1.20e+03 │           5.12e-11 │             3.18e-05 │  first_order │        2.06e+02 │           5.60e-02 │        5.96e-04 │          9.80e-12 │
│     31 │  LUKVLI10 │  10000 │   9998 │     first_order │           3.54e+03 │              2.34e+01 │           3.94e-05 │             6.40e-04 │  first_order │        3.54e+03 │           1.65e+00 │        1.82e-04 │          0.00e+00 │
│     32 │   LISWET5 │   2002 │   2000 │     first_order │           5.00e+00 │              4.04e-01 │           3.96e-08 │             5.18e-04 │  first_order │        8.39e+01 │           3.10e-02 │        1.00e-06 │          0.00e+00 │
│     33 │   EIGENA2 │   2550 │   1275 │     first_order │           5.05e-29 │              1.97e+00 │           1.42e-14 │             0.00e+00 │  first_order │        0.00e+00 │           7.38e+00 │        2.76e-02 │          0.00e+00 │
│     34 │    SIPOW4 │      4 │   2000 │     first_order │           2.72e-01 │              2.40e-02 │           4.00e-08 │             1.16e-04 │  first_order │        4.90e-01 │           1.50e-02 │        2.52e-04 │          0.00e+00 │
│     35 │  DIXCHLNG │     10 │      5 │     first_order │           5.99e-05 │              1.00e-03 │           4.63e-06 │             5.79e-04 │  first_order │        2.47e+03 │           2.00e-03 │        3.74e-01 │          4.07e-04 │
│     36 │  CHACONN1 │      3 │      3 │     first_order │           1.95e+00 │              0.00e+00 │           1.28e-10 │             9.40e-06 │  first_order │        1.95e+00 │           1.00e-03 │        1.70e-05 │          0.00e+00 │
│     37 │   SIPOW2M │      2 │   2000 │     first_order │          -1.00e+00 │              2.10e-02 │           7.87e-12 │             7.84e-04 │  first_order │       -9.85e-01 │           3.70e-02 │        3.76e-04 │          0.00e+00 │
│     38 │   LHAIFAM │     99 │    150 │        max_time │                NaN │              1.20e+03 │                NaN │                  NaN │      unknown │        0.00e+00 │           1.00e-03 │             Inf │               Inf │
│     39 │      TFI1 │      3 │    101 │     first_order │           5.33e+00 │              8.90e-02 │           1.26e-05 │             4.07e-04 │  first_order │        5.33e+00 │           1.90e-02 │        3.04e-04 │          0.00e+00 │
│     40 │  KIWCRESC │      3 │      2 │     first_order │           1.98e-06 │              1.00e-03 │           2.10e-12 │             5.60e-06 │  first_order │        3.25e-04 │           2.00e-03 │        5.02e-05 │          0.00e+00 │
│     41 │     HS100 │      7 │      4 │     first_order │           6.81e+02 │              1.80e-02 │           5.93e-05 │             2.96e-04 │  first_order │        6.81e+02 │           3.00e-03 │        6.09e-06 │          0.00e+00 │
